publishedAtDate;stars;text;title
2022-12-28T08:13:53.578Z;5;;OBI Markt Wien Triester Str.
2022-12-26T18:05:43.888Z;5;;OBI Markt Wien Triester Str.
2022-12-24T14:40:03.206Z;5;;OBI Markt Wien Triester Str.
2022-12-24T13:33:56.793Z;1;lg Walter Stahl;OBI Markt Wien Triester Str.
2022-12-24T11:37:54.071Z;5;;OBI Markt Wien Triester Str.
2022-12-24T07:36:53.097Z;5;;OBI Markt Wien Triester Str.
2022-12-23T06:59:25.809Z;4;;OBI Markt Wien Triester Str.
2022-12-22T15:38:42.504Z;4;;OBI Markt Wien Triester Str.
2022-12-22T11:55:37.188Z;5;a well-organized store with well-informed workers;OBI Markt Wien Triester Str.
2022-12-21T22:55:30.028Z;5;;OBI Markt Wien Triester Str.
2022-12-21T17:37:08.746Z;4;;OBI Markt Wien Triester Str.
2022-12-21T05:18:53.084Z;5;;OBI Markt Wien Triester Str.
2022-12-20T14:47:34.675Z;4;Öffentlich erreichbar;OBI Markt Wien Triester Str.
2022-12-20T12:25:15.625Z;5;;OBI Markt Wien Triester Str.
2022-12-20T07:07:55.484Z;1;"Ein Chaos bis zum geht nicht mehr. 20 (in Worten ZWANZIG ??) Minuten warten bei der Warenabholung im Keller, weil niemand sich zuständig fühlte. Ein OBI Mitarbeiter gleich daneben gab lediglich ""Des is net mei Abteilung"" zur Antwort. Nach geschlagenen 20 Minuten in der Eiseskälte kam endlich der zuständige Mitarbeiter mit dem Stapler an, schlenderte gaaaanz gemütlich zur Abteilung worauf er endlich die Abholscheine in Empfang nahm. Es ist gelinde gesagt eine Frechheit, den Kunden 20? Minuten in der eiskalten Garage warten zu lassen und das an einem Freitag vorm letzten Adventwochenende, wo der Zustrom gewaltig ist. Sehr kundenfreundlich  Auch an der Kassa stand man lange an, da die junge Verkäuferin einem Kunden lang und breit die OBIApp erklären musste (welche auch so eine Chaosapp ist). Auch der Markt für sich ist total desorganisiert. Man muss lange nach den benötigten Sachen suchen, so wie nach einem OBI Mitarbeiter. Mir kam es so vor, als ob sie sich vor den Kunden verstecken.
OBImarkt Triesterstrasse NICHT zu empfehlen. Das Einzige positive war die Dame beim Infoschalter ?";OBI Markt Wien Triester Str.
2022-12-20T06:52:31.001Z;5;;OBI Markt Wien Triester Str.
2022-12-19T18:14:02.684Z;5;;OBI Markt Wien Triester Str.
2022-12-18T05:27:58.378Z;5;War am 17.12. in E-abteiung, um einige Kleinartikel zu besorgen. Wurde dort von einem ausnehmend netten, höflichen, hilfsbereiten, (bin erheblich gehbehindert), jg. Mann (lt eig. Aussage normalerweise i. Fliesenabteilung,  Vollbart, türk. Abstammung) äußerst hilfreich, b. Warenauswahl unterstützt. Danke und weiterhin viel Erfolg Ihrem Mitarbeiter. D. Podolszky;OBI Markt Wien Triester Str.
2022-12-18T00:53:29.322Z;5;;OBI Markt Wien Triester Str.
2022-12-17T19:04:56.838Z;5;;OBI Markt Wien Triester Str.
2022-12-16T20:32:40.425Z;4;Gut;OBI Markt Wien Triester Str.
2022-12-16T13:29:50.594Z;4;Many.. Many things!!! If you don't like one... You ll definitely find something else!!! But with the workers there... Was really difficult to find them just for a simple question.. Might has been difficult day!!! Was my first time.. Next time I ll have better idea about it!!;OBI Markt Wien Triester Str.
2022-12-16T11:31:06.969Z;5;;OBI Markt Wien Triester Str.
2022-12-16T09:25:05.825Z;5;;OBI Markt Wien Triester Str.
2022-12-15T21:50:13.416Z;4;;OBI Markt Wien Triester Str.
2022-12-15T09:59:03.192Z;5;??? ??????? ??? ??? ?? ????????;OBI Markt Wien Triester Str.
2022-12-15T09:19:06.398Z;4;Super toll;OBI Markt Wien Triester Str.
2022-12-14T22:18:45.440Z;4;;OBI Markt Wien Triester Str.
2022-12-14T10:19:56.790Z;5;;OBI Markt Wien Triester Str.
2022-12-13T23:03:26.608Z;5;Predobar asortiman proizvoda i robe;OBI Markt Wien Triester Str.
2022-12-13T14:06:12.466Z;5;;OBI Markt Wien Triester Str.
