likesCount;publishedAtDate;stars;text;title
1;2023-02-16T11:41:52.750Z;2;Verstehe diesen Hype ?berhaupt nicht. Die H?lfte der Donerl?den auf der Favoritenstr. sind genauso gut wenn nich besser.;
;;;;
1;2023-02-15T21:56:50.813Z;3;Unser Dur?m war total kalt, das Fleisch war schon gut aber eben kalt. Wir fanden den Kabap gar nicht besonders f?r den Preis.;FERHAT D?NER
0;2023-02-15T19:46:47.580Z;5;;FERHAT D?NER
1;2023-02-15T06:50:31.721Z;4;Heute war die Schlange mal kurz, deshalb endlich mal getestet. Innen kleine, enge Sitzgelegenheit. Qualit?t der Speisen sehr gut, insbesondere das Fleisch scheint besser zu sein, als woanders. Hat gut geschmeckt, in eine lange Warteschlange w?rde ich mich daf?r jedoch nicht stellen.;FERHAT D?NER
1;2023-02-15T05:47:13.995Z;5;A tope de gente;FERHAT D?NER
1;2023-02-14T23:13:13.373Z;5;Fooooood wasssss delicious ??;FERHAT D?NER
0;2023-02-14T23:06:57.297Z;4;;FERHAT D?NER
1;2023-02-14T22:27:42.419Z;5;Ein Traum, verstehe die lange Wartezeit und das Personal ist gut gelaunt. Hatte 240 gr. Bitte weiter so;FERHAT D?NER
1;2023-02-14T22:22:33.222Z;5;Eine Institution! Qualit?t und Geschmack auf h?chstem Niveau!;FERHAT D?NER
0;2023-02-14T22:16:37.025Z;1;;FERHAT D?NER
0;2023-02-14T18:45:38.774Z;5;;FERHAT D?NER
2;2023-02-14T08:17:59.283Z;5;Sehr lecker aber lange wartschlange zudem einbisschen teuer;FERHAT D?NER
0;2023-02-14T06:10:50.221Z;3;;FERHAT D?NER
0;2023-02-13T22:17:01.579Z;5;;FERHAT D?NER
1;2023-02-13T21:03:37.175Z;5;Excellent wood-fired meat.;
;;;;
0;2023-02-13T17:57:54.676Z;5;Einfach geil;FERHAT D?NER
2;2023-02-13T17:50:21.094Z;1;Ich habe heute meinen ersten Ferhat D?ner gegessen. Leider war der komplett versalzen!;FERHAT D?NER
