isLocalGuide;likesCount;stars;text;title
true;2;4;Avrupada hatr? say?l?r üniversitelerden;Technische Universität Wien
true;1;5;Sehr Informative Bibliothek;Technische Universität Wien
true;0;5;;Technische Universität Wien
false;0;5;;Technische Universität Wien
true;0;5;;Technische Universität Wien
true;2;5;I love TUWien. I got my PhD degree from here. I wish I had also studied my Master from this Uni. It's got a very old and historical  building which completed its 200 years in 2015. Some of the walls are around a meter thick like the old stone walls in the villages of Khyber Pukhtoonkhwa, Pakistan. I love Professors Mang, Eberhardsteiner, Hellmich, Bernhard, Andreas and Stephan from Civil Engineering Department.;Technische Universität Wien
true;3;5;Von außen schönes Hauptgebäude, innen kleines Labyrinth;Technische Universität Wien
false;0;5;;Technische Universität Wien
true;0;4;Near the park;Technische Universität Wien
true;0;5;;Technische Universität Wien
false;0;4;;Technische Universität Wien
true;0;5;;Technische Universität Wien
true;3;3;Es gibt schönere Orte aber fürs Studium ok.;Technische Universität Wien
true;0;5;Erstklassig;Technische Universität Wien
false;0;5;;Technische Universität Wien
true;0;4;;Technische Universität Wien
false;0;5;;Technische Universität Wien
true;0;3;;Technische Universität Wien
false;0;1;;Technische Universität Wien
false;0;1;;Technische Universität Wien
true;0;5;;Technische Universität Wien
false;0;1;;Technische Universität Wien
false;0;5;;Technische Universität Wien
true;0;5;;Technische Universität Wien
true;0;5;Positive overall experience. Well organised uni, beautiful campus.;Technische Universität Wien
true;1;5;Die HaupTUni.;Technische Universität Wien
true;0;5;;Technische Universität Wien
false;0;5;;Technische Universität Wien
true;5;5;Università pazzesca da vedere da fuori, è imponente e bellissima;Technische Universität Wien
true;2;5;Excelente universidad, hermosas instalaciones, atmósfera perfecta ??;Technische Universität Wien
true;0;5;kann man machen ????;Technische Universität Wien
true;0;5;;Technische Universität Wien
true;0;5;Good;Technische Universität Wien
true;0;4;;Technische Universität Wien
false;0;4;;Technische Universität Wien
false;3;1;Hh;Technische Universität Wien
false;0;5;nice buildings;Technische Universität Wien
false;0;5;;Technische Universität Wien
false;0;5;;Technische Universität Wien
true;0;5;;Technische Universität Wien
true;0;4;;Technische Universität Wien
true;1;5;A big complex right on Karlsplatz - look out for the Library building and its quirky decorations!;Technische Universität Wien
true;0;5;;Technische Universität Wien
true;0;5;;Technische Universität Wien
false;0;5;;Technische Universität Wien
true;0;5;Excellent University;Technische Universität Wien
true;0;4;;Technische Universität Wien
true;2;5;Technik;Technische Universität Wien
true;0;5;;Technische Universität Wien
true;0;5;Beste Uni in Wien!;Technische Universität Wien
true;0;5;;Technische Universität Wien
true;0;5;One of the two Vienna Universities.;Technische Universität Wien
true;0;5;;Technische Universität Wien
true;0;5;;Technische Universität Wien
true;0;5;It's the place I wish I get my master in;Technische Universität Wien
true;0;5;;Technische Universität Wien
true;0;5;Beutyfull buildings and nice atmosphere;Technische Universität Wien
true;4;4;Eine Uni mit ihren schönen und weniger schönen Seiten. Wer sich nur das Gebäude anschauen möchte, sollte auf jeden Fall einen Blick in den kuppelsaal werfen. Ansonsten gibt es hier für Außenstehende nicht viel zu sehen...;Technische Universität Wien
true;0;5;;Technische Universität Wien
true;0;5;;Technische Universität Wien
true;0;5;;Technische Universität Wien
true;0;5;;Technische Universität Wien
true;6;5;The fire alarm rang off during a big conference and everyone went out. Never forgot that.;Technische Universität Wien
true;1;4;Interesting buildings. The university is underfunded and the high number of students in some degrees make for a terrible student/staff ratio!;Technische Universität Wien
true;0;5;;Technische Universität Wien
false;0;5;;Technische Universität Wien
true;0;5;;Technische Universität Wien
true;0;4;;Technische Universität Wien
true;0;3;;Technische Universität Wien
true;4;4;Best university! Only problem is that there are too many people and not enough space for work and learn (even on lectures)!;Technische Universität Wien
false;0;5;;Technische Universität Wien
true;0;5;;Technische Universität Wien
true;0;5;Schön;Technische Universität Wien
true;0;5;;Technische Universität Wien
true;0;5;;Technische Universität Wien
false;0;5;;Technische Universität Wien
true;0;5;;Technische Universität Wien
false;0;5;Top;Technische Universität Wien
true;0;4;;Technische Universität Wien
true;0;5;Studiere hier und hatte noch keine probleme;Technische Universität Wien
true;1;4;The best Technology University of Vienna.;
;;;;
true;0;5;;Technische Universität Wien
true;0;5;;Technische Universität Wien
true;0;5;Coole LVAs;Technische Universität Wien
true;0;5;;Technische Universität Wien
false;0;5;;Technische Universität Wien
false;0;5;;Technische Universität Wien
false;1;5;??????????????;
;;;;
true;0;5;;Technische Universität Wien
true;0;5;Love my uni!;Technische Universität Wien
true;0;3;;Technische Universität Wien
false;1;5;sehr gute Organisation, nette Professoren, gute Lehraustattung...;Technische Universität Wien
true;5;2;This Place smells  aweful! There are often homeless people walking around  inside and outside. Their freedom to be where ever they want but you might want to avoid them.;
;;;;
true;0;5;;Technische Universität Wien
true;0;3;;Technische Universität Wien
false;0;5;;Technische Universität Wien
false;0;2;;Technische Universität Wien
true;0;5;;Technische Universität Wien
false;0;5;;Technische Universität Wien
true;1;5;wanna study my Ph.D. there;Technische Universität Wien
false;0;5;;Technische Universität Wien
false;0;5;;Technische Universität Wien
false;0;4;;Technische Universität Wien
true;0;5;;Technische Universität Wien
false;0;5;;Technische Universität Wien
false;0;5;;Technische Universität Wien
false;2;5;a comfortable university, approaching its 200 anniversary;
;;;;
;;;;
false;0;4;Super gute Ausstattung. Bereue es nicht hier zu sein!;Technische Universität Wien
true;2;5;Ausgezeichnete Ausstattung, (zu)viele Studenten, gute Dozenten in Maschinenbau, anspruchsvoll, das Freihaus- ein architektonisches Meisterwerk ;
;;;;
true;0;5;;Technische Universität Wien
false;0;5;;Technische Universität Wien
false;0;5;;Technische Universität Wien
false;0;2;;Technische Universität Wien
false;0;2;;Technische Universität Wien
true;0;5;;Technische Universität Wien
true;0;5;;Technische Universität Wien
true;0;4;Drmota;Technische Universität Wien
false;0;5;;Technische Universität Wien
false;0;3;Amazing;Technische Universität Wien
false;0;5;Viyana;Technische Universität Wien
false;0;5;;Technische Universität Wien
false;0;4;;Technische Universität Wien
true;0;4;GOOD MEMORIES THERE;Technische Universität Wien
true;0;5;Viele Leute, wenig Platz => früh genug kommen!;Technische Universität Wien
true;0;3;;Technische Universität Wien
true;0;3;;Technische Universität Wien
true;0;4;;Technische Universität Wien
false;0;5;;Technische Universität Wien
true;0;5;Schöne Bibliothek;Technische Universität Wien
false;0;5;;Technische Universität Wien
true;0;5;;Technische Universität Wien
true;0;5;;Technische Universität Wien
true;0;4;;Technische Universität Wien
true;0;3;Nice library;Technische Universität Wien
true;0;5;;Technische Universität Wien
true;0;5;;Technische Universität Wien
true;0;3;;Technische Universität Wien
true;1;5;The old aspect of the buildings.;Technische Universität Wien
true;1;5;U-barn?U1,U2,U???Karlsplaz???;
